taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
10575	10570		Family	Attheyaceae		1		
10576	10570		Family	Chaetocerotaceae		1		
10577	10570		Order	Leptocylindrales		1		
10578	10577		Family	Leptocylindraceae		1		
10579	10554		Superorder	Corethranae				
10580		10579	Subclass	Corethrophycidae		1		
10581	10579		Order	Corethrales		1		
10582	10581		Family	Corethraceae		1		
10583	10554		Superorder	Coscinodiscanae				
10584	10583		Order	Arachnoidiscales		1		
10585	10584		Family	Arachnoidiscaceae		1		
10586	10583		Order	Asterolamprales		1		
10587	10586		Family	Asterolampraceae		1		
10588	10583		Order	Aulacoseirales		1		
10589	10588		Family	Aulacoseiraceae		1		
10590	10583		Order	Chrysanthemodiscales		1		
10591	10590		Family	Chrysanthemodiscaceae		1		
10592	10583		Order	Coscinodiscales		1		
